name	sampling_fn	replace	N	seed	time	rare	max_min_dist	spectral_nmi	spectral_bnmi	louvain_ami	louvain_bami	louvain_n_clusters
mouse_brain	uniform	False	13317	10	0	40	0.6734054467175812	0.44915006933172996	0.491013272787471	0.6111976474518811	0.5597166554297643	29
mouse_brain	uniform	False	13317	11	0	27	0.704662168572328	0.44088876955229817	0.48299669369642667	0.5980952308615994	0.5583869857176231	28
mouse_brain	uniform	False	13317	12	0	32	0.6743555101127221	0.4393993530485272	0.46096057551667213	0.6227869116477005	0.5498810661569423	31
mouse_brain	uniform	False	13317	13	0	25	0.6482505812217221	0.43485009764981464	0.4716944206387565	0.6011795219782763	0.5680232638317313	29
mouse_brain	uniform	False	26634	10	0	73	0.6134478622021815	0.44137722658347356	0.48811182126853947	0.6068517580617502	0.6054232757146695	31
mouse_brain	uniform	False	26634	11	0	62	0.6322217762901957	0.43626024339176656	0.5048376650074575	0.6188508926230202	0.6160558225371504	32
mouse_brain	uniform	False	26634	12	0	67	0.6575859538691838	0.43073753126547876	0.4845397524954126	0.5988608341719042	0.5979849691457478	33
mouse_brain	uniform	False	26634	13	0	71	0.621159856262798	0.433260863273914	0.49373584132974135	0.6119087515327839	0.5737865615464374	32
mouse_brain	uniform	False	39951	10	0.034515380859375	107	0.6134478622021815	0.44246238157139517	0.5006406085369222	0.6202935825314861	0.6030781035063366	36
mouse_brain	uniform	False	39951	11	0.017519712448120117	106	0.631262469537015	0.4347921812225798	0.47027966723413805	0.6141473242555252	0.6389224027317376	35
mouse_brain	uniform	False	39951	12	0.09066891670227051	92	0.6575859538691838	0.43961187222234666	0.4788974961593847	0.6025386429337415	0.6043891538410034	35
mouse_brain	uniform	False	39951	13	0.01746964454650879	98	0.6134478622021815	0.43571933454411355	0.4970646171142215	0.6176714442888067	0.6280387223998297	33
mouse_brain	uniform	False	53268	10	0.04352569580078125	138	0.6134478622021815	0.44230699467967444	0.5270666669978046	0.6147357721267571	0.639307958622073	37
mouse_brain	uniform	False	53268	11	0.018397092819213867	139	0.6246017909516006	0.4320546851088123	0.5260358731755783	0.6138651448987886	0.6369472354870582	35
mouse_brain	uniform	False	53268	12	0.02417588233947754	134	0.642856515416109	0.4338139613285935	0.5212646359633882	0.5831177459864626	0.6588253544397981	35
mouse_brain	uniform	False	53268	13	0.06235384941101074	125	0.6134478622021815	0.4361982122232369	0.5041736760668302	0.6127400236950641	0.6495093561844955	37
mouse_brain	uniform	False	66585	10	0.06444978713989258	174	0.6134478622021815	0.4373499649362665	0.49153422520455614	0.6141925493854665	0.6411608783639727	38
mouse_brain	uniform	False	66585	11	0.0789637565612793	177	0.6246017909516006	0.4363578414459037	0.4961250321208549	0.5966827468945561	0.6632172092192649	38
mouse_brain	uniform	False	66585	12	0.030595779418945312	167	0.5682277309751691	0.4340608255731904	0.5126465740258693	0.6041546486208651	0.6590748345286431	39
mouse_brain	uniform	False	66585	13	0.038815975189208984	157	0.6134478622021815	0.4332186368637565	0.49853402262372837	0.6204349206647506	0.6495780930786973	39
mouse_brain	gs_gap	False	13317	10	0	124	0.6330923571659761	0.45271674884716606	0.5008987179184137	0.6167293382754225	0.5860281847797417	37
mouse_brain	gs_gap	False	13317	11	0	128	0.6555579800897546	0.4625652720528105	0.5259573362460065	0.6009963746138471	0.5862824777542675	35
mouse_brain	gs_gap	False	13317	12	0	135	0.6380529975035396	0.4432020412704377	0.5147309492636782	0.6138935708750651	0.5683099919913099	36
mouse_brain	gs_gap	False	13317	13	0	122	0.702089504209616	0.45057609308170377	0.4994353501202626	0.5921463366253346	0.6012684825762126	38
mouse_brain	gs_gap	False	26634	10	0	241	0.6773727332853748	0.4715450097128882	0.504346648394352	0.5901117984406922	0.6052056714282512	39
mouse_brain	gs_gap	False	26634	11	0	220	0.6555579800897546	0.4499111503662505	0.5009932907229608	0.5931687140603208	0.609486165230038	40
mouse_brain	gs_gap	False	26634	12	0	247	0.6214073331420341	0.4633026886160795	0.5128342908663093	0.6140235194494541	0.6192203015634682	40
mouse_brain	gs_gap	False	26634	13	0	239	0.6551863416290344	0.449919201323069	0.4996366646943868	0.5943225227862192	0.605686323356751	41
mouse_brain	gs_gap	False	39951	10	333.71479415893555	339	0.6341257036794623	0.47481349648392834	0.5078623391144447	0.5988968767125112	0.6300561137656214	40
mouse_brain	gs_gap	False	39951	11	311.5918707847595	338	0.629109221277963	0.4563720911194975	0.514749716076223	0.58529906997085	0.6230291902630744	40
mouse_brain	gs_gap	False	39951	12	339.52841567993164	355	0.604035448085155	0.4512413178532392	0.4989653644864734	0.5671484474214299	0.5974349266674448	38
mouse_brain	gs_gap	False	39951	13	269.9390766620636	343	0.620975682246442	0.4499521413421835	0.5131930423078965	0.588553842805972	0.6160816330859801	40
mouse_brain	gs_gap	False	53268	10	287.65447759628296	435	0.6067517308902315	0.4803480020927378	0.5143711526333723	0.5916146949108656	0.6480394373216962	41
mouse_brain	gs_gap	False	53268	11	285.0428705215454	437	0.629109221277963	0.4773614521572008	0.5078802995794425	0.600787809168804	0.6420229802708545	42
mouse_brain	gs_gap	False	53268	12	268.11926198005676	441	0.604035448085155	0.4796174566937025	0.5136912626135715	0.5708003396311805	0.6231127630907709	42
mouse_brain	gs_gap	False	53268	13	286.13177466392517	430	0.604035448085155	0.4781129396930196	0.521749654034915	0.5859478902297002	0.6233526793209169	39
mouse_brain	gs_gap	False	66585	10	305.3034245967865	552	0.6067517308902315	0.48057971959757023	0.5331054884072505	0.5931794011286982	0.6289238465395754	44
mouse_brain	gs_gap	False	66585	11	301.81581950187683	537	0.604035448085155	0.4776805260696057	0.5110121656783752	0.5971714048390737	0.6291785715938453	43
mouse_brain	gs_gap	False	66585	12	299.37908267974854	558	0.604035448085155	0.4795157205809266	0.5172537229999089	0.5888975328354084	0.6597372125992644	42
mouse_brain	gs_gap	False	66585	13	330.4026484489441	541	0.604035448085155	0.47935439811693986	0.5179257768576527	0.5981573484671093	0.634913745223397	40
mouse_brain	gs_gap_N	False	13317	10	309.6715233325958	283	0.6237663987861627	0.48103500534580135	0.6048722530001265	0.6076357366713026	0.6236165312822384	34
mouse_brain	gs_gap_N	False	13317	11	322.9961588382721	277	0.6237663987861627	0.4953753794348666	0.6032184510886047	0.613080851089808	0.648637312032871	32
mouse_brain	gs_gap_N	False	13317	12	331.4936742782593	285	0.6237663987861627	0.47984345270154627	0.6065263550395882	0.6309515574478707	0.6633482138769264	32
mouse_brain	gs_gap_N	False	13317	13	334.8932797908783	280	0.6194885912566356	0.481270228583554	0.5960862694303118	0.6133872652325639	0.6527503190041289	32
mouse_brain	gs_gap_N	False	26634	10	419.5892984867096	358	0.5816853117997993	0.4650566886250861	0.5931029669951746	0.6310282549467549	0.6905804818758983	37
mouse_brain	gs_gap_N	False	26634	11	417.01542687416077	346	0.5803911946442024	0.46575524324648754	0.5944623593254246	0.6298893916764136	0.6809356325320045	37
